County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Boise County,Idaho,88,6890,0.943181818,0.056818182,0,31.9,27.5,0.968883613
Bolivar County,Mississippi,281,33615,0.786476868,0.213523132,0,,,0.731516457
Bollinger County,Missouri,125,12280,0.856,0.144,0,,,0.753229107
Bon Homme County,South Dakota,128,7000,0.7421875,0.2578125,0,12.1,0,0.857210259
Bond County,Illinois,162,17135,0.87037037,0.12962963,0,53.6,0,0.807663106
Bonner County,Idaho,98,41390,0.857142857,0.142857143,0,148.1,41.5,0.968883613
Bonneville County,Idaho,205,108990,0.917073171,0.082926829,1,46.8,0,0.968883613
Boone County,Indiana,286,61885,0.905594406,0.094405594,0,23.4,4.6,0.92512153
Boone County,Illinois,109,53655,0.972477064,0.027522936,0,21.3,0,0.807663106
Boone County,Nebraska,239,5355,0.983263598,0.016736402,0,19.7,0,0.899117407
Boone County,Iowa,134,26410,0.671641791,0.328358209,0,24.4,0,0.906330826
Boone County,West Virginia,132,23645,0.818181818,0.181818182,,115.3,0,0.694866631
Boone County,Missouri,338,172775,0.949704142,0.050295858,1,39.7,0,0.753229107
Boone County,Kentucky,129,125655,0.992248062,0.007751938,1,18.5,0,0.920222177
Boone County,Arkansas,97,37300,0.969072165,0.030927835,1,30,0,0.796760502
Borden County,Texas,52,700,1,0,,,,0.891372329
Bosque County,Texas,143,17955,0.993006993,0.006993007,0,39,39,0.891372329
Bossier Parish,Louisiana,280,124720,0.764285714,0.235714286,0,98.1,0,0.743835895
Botetourt County,Virginia,199,33190,0.974874372,0.025125628,0,88.5,5.7,0.884284057
Bottineau County,North Dakota,139,6650,0.848920863,0.151079137,0,67.7,0,0.933551831
Boulder County,Colorado,289,313960,0.979238754,0.020761246,0,57.2,8.8,0.78095535
Boundary County,Idaho,83,11140,0.843373494,0.156626506,0,83.9,34.6,0.968883613
Bourbon County,Kansas,204,14750,0.848039216,0.151960784,0,42.1,0,0.883778315
Bourbon County,Kentucky,114,20005,0.964912281,0.035087719,0,29.1,0,0.920222177
Bowie County,Texas,333,93485,0.996996997,0.003003003,0,126.4,8.8,0.891372329
Bowman County,North Dakota,68,3240,1,0,0,48.5,0,0.933551831
Box Butte County,Nebraska,29,11280,1,0,1,50.7,0,0.899117407
Box Elder County,Utah,183,51530,0.956284153,0.043715847,0,172.6,0,0.783681005
Boyd County,Nebraska,62,2005,0.935483871,0.064516129,0,,,0.899117407
Boyd County,Kentucky,88,48715,0.988636364,0.011363636,0,32.8,8.6,0.920222177
Boyle County,Kentucky,88,29650,0.954545455,0.045454545,0,12.8,0,0.920222177
Bracken County,Kentucky,47,8405,0.829787234,0.170212766,,19.3,19.3,0.920222177
Bradford County,Pennsylvania,396,61810,0.853535354,0.146464646,0,50.5,0,0.714875343
Bradford County,Florida,62,26920,0.935483871,0.064516129,0,42,0,0.882151679
Bradley County,Tennessee,199,102860,0.969849246,0.030150754,0,34.4,0,0.945988112
Bradley County,Arkansas,109,11095,0.990825688,0.009174312,0,38.2,0,0.796760502
Branch County,Michigan,119,43605,0.781512605,0.218487395,0,13,9.7,0.771767308
Brantley County,Georgia,54,18405,0.944444444,0.055555556,0,52.5,20.1,0.967672415
Braxton County,West Virginia,149,14465,0.77852349,0.22147651,0,30.3,0,0.694866631
Brazoria County,Texas,602,338420,0.96013289,0.03986711,0,105.1,0,0.891372329
Brazos County,Texas,353,209895,1,0,1,66,0,0.891372329
Breathitt County,Kentucky,122,13475,0.93442623,0.06557377,0,44,0,0.920222177
Breckinridge County,Kentucky,91,20000,0.978021978,0.021978022,0,29.5,0,0.920222177
Bremer County,Iowa,262,24665,0.824427481,0.175572519,0,24.8,0,0.906330826
Brevard County,Florida,242,560685,0.991735537,0.008264463,1,100.5,0,0.882151679
Brewster County,Texas,113,9190,0.991150442,0.008849558,0,108.6,80.1,0.891372329
Briscoe County,Texas,18,1670,1,0,0,,,0.891372329
Bristol Bay Borough,Alaska,3,940,0.333333333,0.666666667,1,,,0.769478458
Bristol city,Virginia,51,17340,0.882352941,0.117647059,0,4.1,0,0.884284057
Bristol County,Rhode Island,8,49230,0.875,0.125,,,,0.446867996
Bristol County,Massachusetts,386,554870,0.919689119,0.080310881,1,69,14.6,0.700716679
Broadwater County,Montana,28,5690,0.928571429,0.071428571,0,42.2,0,0.880305656
Bronx County,New York,316,1436785,0.873417722,0.126582278,0,52.5,48.3,0.746636286
Brooke County,West Virginia,55,23475,0.872727273,0.127272727,0,15.4,0,0.694866631
Brookings County,South Dakota,229,33435,0.816593886,0.183406114,0,35,0,0.857210259
Brooks County,Texas,52,7215,0.961538462,0.038461538,0,,,0.891372329
Brooks County,Georgia,103,15645,0.922330097,0.077669903,0,46.9,0,0.967672415
Broome County,New York,459,197380,0.954248366,0.045751634,1,100.7,26.4,0.746636286
Broomfield County,Colorado,66,62450,1,0,,7.3,0,0.78095535
Broward County,Florida,690,1863780,0.986956522,0.013043478,1,50.3,49.4,0.882151679
Brown County,Ohio,264,44060,0.916666667,0.083333333,0,20,0,0.834323878
Brown County,Indiana,113,14965,0.840707965,0.159292035,0,11.3,0,0.92512153
Brown County,Illinois,71,6835,0.845070423,0.154929577,0,,,0.807663106
